ID,Country code,Year,Country name,Start date,End date,Type,Flood source,Regions affected (v2010),Regions affected (v2021),Area flooded,Fatalities,Persons affected,Losses (nominal value),Losses (original currency),Losses (2020 euro),Cause,Notes,References,Changes
1190,SI,1992,Slovenia,12/3/1992,12/8/1992,River,Sava; Rizana,SI014;SI015;SI016;SI018,SI034;SI035;SI036;SI038,,1,,,,,Heavy rainfall,,EIONET (2016),Corrected
2373,NO,1993,Norway,1/8/1993,1/18/1993,Coastal,North Sea,NO043;NO051;NO052;NO053,NO0A1;NO0A2;NO0A3,,0,,12000000,NOK,2561384,Storm surge,Compensated economic loss,Finans Norge (2023),New
2765,BE,1993,Belgium,1/11/1993,1/13/1993,River,Ton; Messancy,BE345,BE345,,0,600,,,,Snowmelt,,CRED (2023); Heyse (1997); Mission Opérationnelle Transfrontalière (2023),New
1523,UK,1993,United Kingdom,1/15/1993,1/18/1993,River,Tay,UKM27,UKM77,,0,6000,20000000,GBP,40030777,Heavy rainfall and snowmelt,,CRED (2023); Brakenridge (2022); UK Parliament (1993); SEPA (2013),
97,DK,1993,Denmark,2/21/1993,2/22/1993,Coastal,Danish Straits,DK022,DK022,,1,1120,42000000,DKK,9009210,Storm surge,Compensated economic loss,EEA (2015); Kystdirektoratet (2011); Naturskaderådet (2023); Stormrådet (2009),Updated
1524,UK,1993,United Kingdom,2/21/1993,2/21/1993,Coastal,North Sea,UKH13,UKH15;UKH16,,0,600,2000000,GBP,4003078,Storm surge up to 1.77 m,,University of Southampton (2023),
434,IE,1993,Ireland,6/11/1993,6/12/1993,Flash,Liffey,IE021;IE022,IE061;IE062,,3,3500,26000000,IEP,60631220,Extreme rainfall up to 100 mm in 24 h,,CRED (2023); Met Eireann (2018); OPW (2012); Dáil Éireann (1993),Updated
1525,UK,1993,United Kingdom,6/11/1993,6/13/1993,Flash,Great Orme,UKK43;UKL13;UKL14,UKK43;UKL13;UKL14,,0,4000,20000000,GBP,40030777,Extreme rainfall,,Brakenridge (2022); Independent (1993),
205,FR,1993,France,7/5/1993,7/5/1993,Flash,Le Marmont,FR711,FRK21,,2,420,,,,Extreme rainfall up to 120 mm in 2 h,,AERMC (2011),Corrected
6029,CH,1993,Switzerland,7/16/1993,7/17/1993,Flash,Spreitenbach,CH033,CH033,,1,,8000000,CHF,8260744,Extreme rainfall up to 50 mm in 1 h,,Sturmarchiv Schweiz (2022),New
